zip3,Longitude_avg,Latitude_avg,n_screened,n_positive,positivity
791,-101.8806419,35.30811969,3570,84,2.35
794,-101.8665866,33.578371074,351,27,7.69
797,-102.4818526,31.702994532,4030,62,1.54
799,-106.3341235,31.73178555,2640,240,9.09
800,-104.8793833,39.782861429,21336,672,3.15
801,-104.7304608,39.536665391,16882,230,1.36
802,-104.8372774,39.742284671,61256,1216,1.99
803,-105.3381164,40.062142875,2832,128,4.52
804,-105.9244039,39.831890714,5103,63,1.23
805,-105.1727036,40.379171558,9116,301,3.3
806,-104.5982608,40.329188242,4818,132,2.74
809,-104.6967019,38.853701451,2397,102,4.26
811,-106.1968723,37.430323343,1365,35,2.56
813,-108.3939855,37.437074167,1584,90,5.68
814,-108.011252,38.464952346,988,52,5.26
820,-105.0631895,41.316121964,1176,28,2.38
833,-114.2796425,42.816631949,975,78,8
836,-116.3227367,43.898085966,48140,1276,2.65
837,-116.23286,43.512037,13098,703,5.37
838,-116.5435486,47.701843167,10956,330,3.01
840,-111.3755978,40.636164034,18601,445,2.39
841,-111.8905268,40.702521246,7137,183,2.56
850,-112.1277242,33.42449842,378027,19521,5.16
851,-111.758483,33.427135,117,6,5.13
852,-111.7922031,33.303921461,154415,7298,4.73
853,-112.8512225,33.421871407,614142,25515,4.15
855,-110.2966284,33.30643708,1025,25,2.44
856,-110.4321016,31.848303,17680,884,5
857,-111.1977286,32.148507509,79553,5300,6.66
860,-111.2147109,35.768405028,3744,72,1.92
863,-112.3005562,34.6866324,2065,140,6.78
864,-114.150948,35.256250667,15090,30,0.2
870,-106.7636537,35.205937576,62599,177,0.28
871,-106.6342156,35.083284104,262464,1104,0.42
874,-108.2239087,36.714515467,150,30,20
880,-107.5053745,32.402741926,202608,486,0.24
882,-103.9247609,32.796331893,62608,196,0.31
890,-115.3715042,36.535596154,23972,676,2.82
891,-115.1119743,36.065779809,75140,3196,4.25
894,-119.0864328,39.722643604,122592,8928,7.28
895,-119.7081178,39.910358455,66506,6512,9.79
897,-119.7843413,39.153339615,14040,598,4.26
898,-115.5518872,41.093419632,551,57,10.34
900,-118.2999439,33.953055916,928625,56430,6.08
902,-118.3399354,33.90005875,291200,22048,7.57
903,-118.314626,33.841847067,9300,735,7.9
904,-118.3930741,33.904162917,1992,132,6.63
905,-118.313644,33.8116678,7180,410,5.71
906,-118.1014955,33.8378378,102970,7070,6.87
907,-118.1945298,33.788651844,102816,6816,6.63
908,-118.2135663,33.78987169,66526,4495,6.76
910,-118.2271988,33.951890038,27118,1222,4.51
911,-118.2607435,33.868227839,22041,744,3.38
912,-118.2732015,34.000815,21520,960,4.46
913,-118.4677259,34.030651635,308210,26862,8.72
914,-118.353967,33.92349713,37191,2852,7.67
915,-118.3075074,33.938072,8021,273,3.4
